TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Category�,ISBN
383462,Mr. Grumpy,Roger Hargreaves,English,B0970510,1,Kids,#N/A
382565,Mr. Noisy (Mr. Men Classic Library),Roger Hargreaves,English,B0970502,1,Kids,#N/A
383463,Mr. Perfect,Roger Hargreaves,English,B0970505,2,Kids,#N/A
335097,ENORMOUS CROCODILE,Rohal Dahl,English,B0972877,1,Pre Teen,#N/A
312475,The 39 Clues Cahills Vs. Vespers: Shatterproof (Book - 4),Roland Smith,English,B0971673,1,Pre Teen,#N/A
352263,The Castle Crime (English),Ron Roy,English,B0970478,3,Kids,#N/A
269820,Bedtime Stories,Ronne Randall,English,B0973146,10,Kids,#N/A
364579,The Gita For Children,Roopa Pai ,English,B0971479,3,Pre Teen,#N/A
358524,The Puffin History of the World - Volume 2,Roshen Dalal ,English,B0971284,1,History,#N/A
271469,UFR LEVEL-2 THE GENIE IN THE BOTTLE,Rosie Dickins,English,B0970596,0,Kids,#N/A
346701,Eleanor & Park,"Rowell, Rainbow",English,B0971890,3,Fiction,#N/A
197377,Mayflower Treasure Hunt,"Roy, Ron",English,B0970479,4,Kids,#N/A
197378,Panda Puzzle,"Roy, Ron",English,B0970428,3,Kids,#N/A
197380,The Bald Bandit,"Roy, Ron",English,B0970408,2,Kids,#N/A
197381,The Canary Caper,"Roy, Ron",English,B0970484,2,Kids,#N/A
197385,The Goose's Gold,"Roy, Ron",English,B0970427,2,Kids,#N/A
197386,The Haunted Hotel,"Roy, Ron",English,B0970424,2,Kids,#N/A
197387,The Invisible Island,"Roy, Ron",English,B0970425,3,Kids,#N/A
197388,The Jaguar's Jewel,"Roy, Ron",English,B0970480,1,Kids,#N/A
197389,The Kidnapped King,"Roy, Ron",English,B0970423,4,Kids,#N/A
197391,The Missing Mummy,"Roy, Ron",English,B0970482,3,Kids,#N/A
197392,The Ninth Nugget,"Roy, Ron",English,B0970426,3,Kids,#N/A
197393,The Orange Outlaw,"Roy, Ron",English,B0970429,4,Kids,#N/A
197394,The Quicksand Question,"Roy, Ron",English,B0970433,2,Kids,#N/A
197395,The Runaway Racehorse,"Roy, Ron",English,B0970406,2,Kids,#N/A
197396,The School Skeleton,"Roy, Ron",English,B0970483,1,Kids,#N/A
197397,The Talking T. Rex,"Roy, Ron",English,B0970481,2,Kids,#N/A
197398,The Unwilling Umpire,"Roy, Ron",English,B0970432,2,Kids,#N/A
197400,The X'ed-Out X-Ray,"Roy, Ron",English,B0970441,2,Kids,#N/A
197401,The Yellow Yacht,"Roy, Ron",English,B0970485,2,Kids,#N/A
374355,Second Chance at Love,Ruchita Misra,English,B0970349,1,Indian writing,#N/A
379362,Junior Classic - Book 2,Rudyard Kipling,English,B0972056,3,Classic,#N/A
383482,The jungle book,Rudyard Kipling,English,B0971294,1,Kids,#N/A
342019,"Dont Lose Out, Work Out!",Rujuta Diwekar,English,B0973471,3,Health & Fitness,#N/A
374295,The PCOD - Thyroid Book,Rujuta Diwekar,English,B0973878,3,Health & Fitness,#N/A
216951,Women & The Weight Loss Tamasha,Rujuta Diwekar,English,B0972083,4,Health & Fitness,#N/A
191879,Haroun & The Sea Of Stories,"Rushdie, Salman",English,B0971104,0,Fiction,#N/A
379500,"Friends in Wild Places : Birds, Beasts and Other Companions (English)        (Hardcover)",Ruskin Bond,English,B0970884,2,pre Teen,#N/A
359625,Ranji’s Wonderful Bat and Other Stories,Ruskin Bond,English,B0970771,3,Pre Teen,#N/A
377709,RUSKIN BONDS FAVOURITE GHOST STORIES FROM AROUND THE WORLD,Ruskin Bond,English,B0970940,4,Pre Teen,#N/A
352720,The Room of Many Colours : A Treasury of Stories for Children,Ruskin Bond,English,B0970774,6,Pre Teen,#N/A
230070,When The Tiger Was King,Ruskin Bond,English,B0977862,0,Pre Teen,#N/A
348711,A BIRTHDAY FOR FRANCES,Russell Hoban,English,B0972161,2,Kids,#N/A
365642,UFR LEVEL 4 - PERCY AND THE PIRATES,Russell Punter,English,B0970645,1,Kids,#N/A
342021,Byculla to Bangkok,S. Hussain Zaidi,English,B0971741,1,Travel,#N/A
374116,Playing It My Way ? My Autobiography,Sachin Tendulkar,English,B0971492,4,Autobiography,#N/A
222441,Encounter The Enlightened,Sadhguru,English,B01085856,0,Self HelP,#N/A
194687,P. J. Funnybunny Camps Out (Step 2),"Sadler, Marilyn",English,B0971933,1,Indian Writing,#N/A
190620,Catcher In the Rye,"Salinger, J D",English,B0971049,3,Fiction,#N/A
203278,Midnight's Children,Salman Rushdie,English,B0971527,3,Indian Writing,#N/A
372902,Princess More Tears to Cry,Sasson Jean,English,B0971553,1,Autobiography,#N/A
193564,Daughters Of Arabia,"Sasson, Jean",English,B0971469,2,Autobiography,#N/A
193576,Desert Royal,"Sasson, Jean",English,B0971462,2,Autobiography,#N/A
195717,Mayada: Daughter Of Iraq,"Sasson, Jean",English,B0971546,1,Classic,#N/A
255478,Unakkakavea Oru Ragasyam,Sathguru Jakki Vasudev,English,B01085855,0,Self Help,#N/A
450881,Hit Refresh: The Quest to Rediscover Microsoft’s Soul and Imagine a Better Future for Everyone,Satya Nadella,English,B01085857,1,Autobiography,#N/A
192652,The Royal Bengal Mystery,Satyajit Ray,English,B0971042,1,Kids,#N/A
382260,The Adventures Of Feluda: Bandits Of Bombay,"Satyajit Ray (Author), Gopa Majumdar (Author)",English,B0970788,0,KIds,#N/A
