TITLE_ID,TITLE,AUTHOR,BOOK_NO,TIMES_RENTED,ISBN,Category ,Price,Pub Year,Pages,Format
360146,"Go Away, Dog (English)        (Paperback)","Paul Meisel  					,  					 Joan L. Nodset  									",B0972168,2,978-0064442312,0,,,,
345116,Dark Places,"Flynn, Gillian",B0971353,2,R9780753827031,0,,,,
258742,39 Clues : Cahills Vs Vespers Book 2: A Kings Ransom,Jude Watson,B0971671,2,978-0545298407,0,,,,
348437,Greg's Microscope,Millicent Ellis Selsam,B0972174,2,978-0833568038,0,,,,
363643,No Place Like Home,Mary Higgins Clark  									,B0971226,2,R9781849834612,0,,,,
359127,Judy Moody Saves the World! (English)        (Paperback),"Mcdonald  					,  					 Megan  									",B0971322,2,978-1536200720,0,,,,
361480,The Lincoln Myth,Steve Berry  									,B0971475,2,R9781473604049,0,,,,
361971,Total Fitness : The Leena Mogre Way,Leena Mogre  									,B0970447,2,R9788184004366,0,,,,
352803,"Strike Three, Marley! (English)","Susan Hill, John Grogan, Lydia Halverson",B0972167,2,978-8129141842,0,,,,
352748,Enchanted World 3 : Petal : Petal and the Eternal Bloom (English),Elise Allen,B0970642,2,978-8194906476,0,,,,
364315,The Inheritance of Loss (English),Kiran Desai  									,B0971032,2,R9780143423904,0,,,,
343508,Dork Diaries OMG ! : All About Me Diary,"Renee Russell, Rachel",B0970909,2,R9781471117732,0,,,,
364538,Face The Fire,Nora Roberts  									,B0971621,2,R9780749952877,0,,,,
365825,The Talkative Tortoise (English)        (Paperback),Team Bookmatrix  									,B0973058,2,#N/A,0,,,,
361013,A Tale About Tails (Dr. Seuss/Cat in the Hat) (English)        (Paperback),Tish Rabe  									,B0971938,2,#N/A,0,,,,
357889,The Chocolate Voyage (Dr. Seuss/Cat in the Hat) (English)        (Hardcover),Tish Rabe Dave Aikins  									,B0971579,2,#N/A,0,,,,
360333,The Selection Stories : The Prince and The Guard,Kiera Cass  									,B0970351,2,978-0008152154,0,,,,
360582,And the Mountains Echoed (English),Khaled Hosseini  									,B0971156,2,#N/A,0,,,,
366725,Rib Tickling Tales of Akbar Birbal [In English ] Blitzy Answers to Dizzy Quizzing (English)        (Hardcover),Kunwar Anil Kumar,B0972946,2,978-9350641552,0,,,,
361011,Hill of Fire,Thomas P. Lewis,B0972175,2,R9780064440400,0,,,,
368459,Evergreen - More Folk Tales from Around the World : 20 Stories in Large Print (English)        (Paperback),Shree Book Centre  									,B0973236,2,978-8174506511,0,,,,
