TITLE_ID,TITLE,AUTHOR,Language,BOOK_NO,TIMES_RENTED,Categoryï¿½,ISBN
383489,Lord Ganeshas Feast of Laughter,Meera Uberoi,English,B0972639,0,Kids,978-9381523704
186739,BIRBAL TO THE RESCUE (618),Meera Ugra,English,B0972003,2,Kids,978-1472381965
186738,JATAKA TALES - THE HIDDEN TREASURE (617),Meera Ugra,English,B0972004,1,Kids,978-4550069960
303951,Abandon: Underworld,Meg Cabot,English,B0973347,1,Teen,978-0330453882
352805,Awaken : An Abandon Novel (English),Meg Cabot,English,B0973367,3,Teen,978-8129141842
190467,Boy Meets Girl,Meg Cabot,English,B0973329,2,Teen,978-8408058298
190468,Every Boy's Got One,Meg Cabot,English,B0973337,2,Teen,978-0330418881
377701,Princess Diaries,Meg Cabot,English,B0972746,6,Teen,978-0330517393
383743,Princess Diaries- 07: Party Princess,Meg Cabot,English,B0972754,1,Teen,978-1472351319
382930,Princess Diaries: A Royal Disaster,Meg Cabot,English,B0972744,3,Teen,978-1509818983
383744,Princess Diaries: Crowning Glory,Meg Cabot,English,B0972748,2,Teen,978-1509819058
383740,Princess Diaries: Princess in the Middle,Meg Cabot,English,B0972745,3,Teen,978-1509818990
383742,Princess Diaries: Prom Princess,Meg Cabot,English,B0972755,2,Teen,978-1509819010
382929,Princess Diaries: Royal Rebel,Meg Cabot,English,B0972750,1,Teen,978-0241458372
382931,Princess Diaries: Royal Scandal,Meg Cabot,English,B0972753,2,Teen,978-1509819041
383741,Princess Diaries: Royally Obsessed,Meg Cabot,English,B0972749,1,Teen,978-1509819003
190486,Size Doesn't Matter,Meg Cabot,English,B0973366,0,Teen,978-1447292258
190461,The Guy Next Door,Meg Cabot,English,B0973812,2,Teen,978-0330411899
189780,The Mediator 1: Love You to Death,Meg Cabot,English,B0973880,1,Teen,#N/A
190472,The Mediator 2: High Stakes,Meg Cabot,English,B0973348,1,Teen,#N/A
189781,The Mediator 3: Mean Spirits,Meg Cabot,English,B0973349,1,Teen,#N/A
189782,The Mediator 4: Young Blood,Meg Cabot,English,B0973339,1,Teen,978-0330437400
189776,The Mediator 5: Grave Doubts,Meg Cabot,English,B0973345,1,Teen,978-1472381941
189779,The Mediator 6: Heaven Sent,Meg Cabot,English,B0973354,1,Teen,#N/A
333960,Judy Moody: The Doctor Is In!,Megan Mcdonald,English,B0971312,1,Pre Teen,978-1406381429
339413,Fox and Crow Are Not Friends,Melissa Wiley,English,B0971959,0,Kids,978-0375869822
203777,Breaking Dawn,"Meyer, Stephenie",English,B0971374,3,Fiction,978-1907410352
187388,ECLIPSE,"Meyer,Stephenie",English,B0971365,3,Teen,978-1904233916
188522,NEW MOON,"Meyer,Stephenie",English,B01085866,2,Teen,#N/A
188316,TWILIGHT,"Meyer,Stephenie",English,B0973055,10,Teen,#N/A
221604,Paddington At Large,Michael Bond,English,B0973624,0,Kids,978-1474800624
347961,Paddington on Top,Michael Bond,English,B0973479,0,Kids,978-0006753773
383672,THE GODS OF GUILT,Michael Connelly,English,B0971495,2,Fiction,#N/A
329705,The Lincoln Lawyer,Michael Connelly,English,B0971506,2,Fiction,978-1409156055
361037,The Last Coyote (English),Michael Connelly ,English,B0971376,3,Fiction,#N/A
366877,Jurassic Park,Michael Crichton,English,B0971228,3,Fiction,978-1784752224
382600,The Big Short Film Tie-In,Michael Lewis,English,B0971715,0,Fiction,978-0141982946
379480,Kensuke's Kingdom : Egmont Modern Classic,Michael Morpurgo,English,B0971286,0,Kids,978-1472381941
377795,THE REVENANT,Michael Punke,English,B0970650,0,Fiction,978-1388932794
215527,"Alchemyst, The",Michael Scott,English,B01085759,2,Teen,978-0552562539
332587,The Enchantress (Book - 6),Michael Scott,English,B01085760,1,Teen,978-8129141842
218121,The Magician,Michael Scott,English,B01085758,2,Teen,978-0552561969
309746,The Sorceress,Michael Scott,English,B01085762,1,Teen,978-8499180557
281205,The Warlock,Michael Scott,English,B01085763,2,Teen,978-0552562560
364564,"The Berenstain Bear's - Valentine Love Bug : Includes 12 Valentine's Day Cards, Fold - Out Poster and Stickers (English)        (Paperback)",Mike Berenstain ,English,B0972178,0,KIds,#N/A
348437,Greg's Microscope,Millicent Ellis Selsam,English,B0972174,2,Kids,978-0060252960
